#Sal	#day	#depth	#hour	#mattime	#minute	#month	#sample	#year
36.12675	6	5.0	13	736609.556944	22	10	20161006_1322_und023	2016
35.286	6	203.786	12	736609.534028	49	10	20161006_1335_ctd028_btl07	2016
35.3169	6	152.006	12	736609.535417	51	10	20161006_1335_ctd028_btl09	2016
35.4304	6	81.563	12	736609.538194	55	10	20161006_1335_ctd028_btl12	2016
35.729	6	30.336	13	736609.541667	0	10	20161006_1335_ctd028_btl15	2016
36.2832	6	5.5	13	736609.545139	5	10	20161006_1335_ctd028_btl24	2016
36.2510633333	6	5.0	16	736609.672917	9	10	20161006_1609_und024	2016
35.80412	7	5.0	9	736610.38125	9	10	20161007_0909_und025	2016
35.9890016667	7	5.0	12	736610.521528	31	10	20161007_1231_und026	2016
35.2355	7	201.908	12	736610.534722	50	10	20161007_1334_ctd030_btl07	2016
35.2845	7	151.8505	12	736610.536111	52	10	20161007_1334_ctd030_btl09	2016
35.5432	7	81.879	12	736610.538194	55	10	20161007_1334_ctd030_btl12	2016
35.8053	7	45.7815	13	736610.541667	0	10	20161007_1334_ctd030_btl15	2016
35.9504	7	5.5455	13	736610.545139	5	10	20161007_1334_ctd030_btl24	2016
35.770655	8	5.0	13	736611.547222	8	10	20161008_1308_und027	2016
35.0961	8	204.2035	12	736611.534722	50	10	20161008_1340_ctd032_btl07	2016
35.2079	8	153.771	12	736611.536111	52	10	20161008_1340_ctd032_btl09	2016
35.6794	8	83.5535	12	736611.538194	55	10	20161008_1340_ctd032_btl12	2016
36.0914	8	56.569	12	736611.540972	59	10	20161008_1340_ctd032_btl14	2016
35.7779	8	6.3085	13	736611.544444	4	10	20161008_1340_ctd032_btl24	2016
35.8393086207	8	5.0	17	736611.708333	0	10	20161008_1700_und028	2016
35.0109733333	9	5.0	13	736612.553472	17	10	20161009_1317_und029	2016
35.2706	9	203.1555	12	736612.534028	49	10	20161009_1332_ctd034_btl07	2016
35.3946	9	152.7525	12	736612.535417	51	10	20161009_1332_ctd034_btl09	2016
36.2574	9	73.428	12	736612.539583	57	10	20161009_1332_ctd034_btl13	2016
36.1922	9	60.608	12	736612.540278	58	10	20161009_1332_ctd034_btl15	2016
35.0501	9	5.6745	13	736612.54375	3	10	20161009_1332_ctd034_btl24	2016
35.18492	9	5.0	18	736612.754861	7	10	20161009_1807_und030	2016
35.8466933333	10	5.0	12	736613.538194	55	10	20161010_1255_und031	2016
35.3163	10	203.982	13	736613.541667	0	10	20161010_1339_ctd036_btl07	2016
35.3993	10	153.438	13	736613.543056	2	10	20161010_1339_ctd036_btl09	2016
36.1852	10	67.856	13	736613.546528	7	10	20161010_1339_ctd036_btl13	2016
36.1574	10	60.635	13	736613.547222	8	10	20161010_1339_ctd036_btl15	2016
35.8565	10	5.275	13	736613.551389	14	10	20161010_1339_ctd036_btl24	2016
36.14531	10	5.0	17	736613.711806	5	10	20161010_1705_und032	2016
36.2274766667	11	5.0	6	736614.261111	16	10	20161011_0616_und033	2016
36.1389816667	11	5.0	9	736614.409722	50	10	20161011_0950_und034	2016
36.12328	11	5.0	12	736614.503472	5	10	20161011_1205_und035	2016
34.8208966667	12	5.0	13	736615.556944	22	10	20161012_1322_und036	2016
34.9883	12	202.7075	12	736615.533333	48	10	20161012_1330_ctd040_btl07	2016
35.2291	12	152.864	12	736615.534722	50	10	20161012_1330_ctd040_btl09	2016
36.4293	12	95.2995	12	736615.538194	55	10	20161012_1330_ctd040_btl12	2016
36.1112	12	62.203	12	736615.539583	57	10	20161012_1330_ctd040_btl15	2016
36.1161	12	5.5855	13	736615.544444	4	10	20161012_1330_ctd040_btl24	2016
36.096195	12	5.0	17	736615.713889	8	10	20161012_1708_und037	2016
36.3026533333	13	5.0	11	736616.490972	47	10	20161013_1147_und038	2016
35.1961	13	203.494	11	736616.485417	39	10	20161013_1221_ctd042_btl07	2016
35.6395	13	153.1005	11	736616.486806	41	10	20161013_1221_ctd042_btl09	2016
36.694	13	123.2895	11	736616.488889	44	10	20161013_1221_ctd042_btl10	2016
36.8771	13	71.7445	11	736616.491667	48	10	20161013_1221_ctd042_btl15	2016
36.3108	13	5.8065	11	736616.495833	54	10	20161013_1221_ctd042_btl24	2016
36.5675083333	13	5.0	16	736616.677778	16	10	20161013_1616_und039	2016
36.8102233333	14	5.0	11	736617.488194	43	10	20161014_1143_und040	2016
35.6977	14	202.5625	13	736617.553472	17	10	20161014_1352_ctd044_btl07	2016
36.8538	14	141.993	13	736617.555556	20	10	20161014_1352_ctd044_btl10	2016
37.0563	14	107.057	13	736617.556944	22	10	20161014_1352_ctd044_btl13	2016
37.0018	14	71.3615	13	736617.558333	24	10	20161014_1352_ctd044_btl15	2016
36.794	14	4.7955	13	736617.561111	28	10	20161014_1352_ctd044_btl24	2016
99.000	14	5.0000	17	736617.710417	3	10	20161014_1703_und041	2016
37.1453516667	15	5.0	13	736618.545139	5	10	20161015_1305_und042	2016
35.8515	15	201.792	12	736618.536111	52	10	20161015_1328_ctd046_btl07	2016
36.8783	15	156.59	12	736618.538889	56	10	20161015_1328_ctd046_btl10	2016
37.1383	15	121.434	12	736618.540278	58	10	20161015_1328_ctd046_btl13	2016
37.1707	15	81.4495	13	736618.541667	0	10	20161015_1328_ctd046_btl15	2016
37.1545	15	5.599	13	736618.545139	5	10	20161015_1328_ctd046_btl24	2016
37.1833366667	15	5.0	17	736618.711111	4	10	20161015_1704_und043	2016
37.07487	17	5.0	12	736620.525694	37	10	20161017_1237_und043	2016
35.7649	17	204.4195	13	736620.541667	0	10	20161017_1334_ctd049_btl05	2016
36.4646	17	149.452	13	736620.545139	5	10	20161017_1334_ctd049_btl09	2016
36.7862	17	122.099	13	736620.546528	7	10	20161017_1334_ctd049_btl12	2016
37.0789	17	80.931	13	736620.547917	9	10	20161017_1334_ctd049_btl14	2016
37.0851	17	6.8945	13	736620.552083	15	10	20161017_1334_ctd049_btl24	2016
36.93738	17	5.0	16	736620.697917	45	10	20161017_1645_und044	2016
36.6905616667	18	5.0	10	736621.443056	38	10	20161018_1038_und044	2016
35.0702	18	405.0525	11	736621.475694	25	10	20161018_1210_ctd051_btl03	2016
35.3209	18	303.6965	11	736621.477778	28	10	20161018_1210_ctd051_btl04	2016
35.3295	18	303.7005	11	736621.477778	28	10	20161018_1210_ctd051_btl05	2016
35.4673	18	253.477	11	736621.479167	30	10	20161018_1210_ctd051_btl06	2016
35.9581	18	178.3615	11	736621.480556	32	10	20161018_1210_ctd051_btl08	2016
36.715565	18	5.0	16	736621.690972	35	10	20161018_1635_und045	2016
29.8763233333	19	5.0	13	736622.553472	17	10	20161019_1317_und046	2016
35.5143	19	203.3245	12	736622.533333	48	10	20161019_1326_ctd053_btl05	2016
35.7963	19	137.517	12	736622.536111	52	10	20161019_1326_ctd053_btl09	2016
35.9902	19	117.824	12	736622.5375	54	10	20161019_1326_ctd053_btl11	2016
36.3191	19	92.89	12	736622.538889	56	10	20161019_1326_ctd053_btl14	2016
36.188	19	6.755	13	736622.54375	3	10	20161019_1326_ctd053_btl24	2016
